code,tin,name_ru
AN-17080003,202974539,Бирлик
AN-230002,203110385,Абдубий
AN-230004,203099264,Шеркоргон
AN-230005,205619209,Бирлашган
AN-230006,203089973,Ок олтин
AN-230007,203090128,Вахим
AN-230008,206130304,Янги вахим
AN-230009,203117146,Карнайчи
AN-230010,204130756,Бешмахалла
AN-230011,204525065,Коргонча
AN-230012,203090071,кумтепа
AN-230013,203090064,Назармахрам
AN-230014,203090024,Янги Найнаво
AN-230015,203090017,Корабуйин
AN-230016,205947196,Янги замон
AN-230020,203269567,Дормон
AN-230021,205349458,Ёнбош дурман
AN-230022,204552208,Ортиш
AN-230023,203103551,Кум
AN-230024,203103544,Сегаза
AN-230025,203099257,Бегбачча
AN-230026,203103536,Хожаобод
AN-230027,203099296,Полосон
AN-230028,203090182,Калача
AN-230029,203129376,Баркамол авлод
AN-230030,205950369,Шайдо
AN-230031,203103512,Ок тонлик
AN-230032,203090049,Бустон (чужа)
AN-230033,203090095,Чожа
AN-230034,205953862,Дустлик
AN-230036,205417791,Куруксой
AN-230037,203103489,Кашкар
AN-230038,203258098,Сарой
AN-230039,203099304,Пахтакол
AN-230040,203103472,Дориломон
AN-230041,203090214,Козикургон
AN-230042,206112333,Шокирбой
AN-230043,203103504,Андажон
AN-230044,203089919,Тегирмонбоши
AN-230045,203090222,Янги турмуш
AN-230046,203090032,Найман
AN-230048,203129369,Байрок
AN-230049,205545634,Маслахаттепа
AN-230050,203135773,Бобочек
AN-230051,203089886,Сохиобод
AN-230052,203089902,Тумор
AN-230053,203089926,Долон
AN-230054,204550914,Янги махалла
AN-230056,204787373,Марказ
AN-230058,203089941,Юзлар
AN-230060,203090199,Андижонлик
AN-230061,203089894,Бешарик
AN-230064,206992767,Мустакиллик
AN-230065,203089965,Муллабой
AN-230066,205435478,Навроз
AN-230068,205537263,Навбахор
AN-230069,207110708,Тараккиёт
AN-230070,203080170,Терактаги
AN-230071,203090143,Шахрихон
AN-230072,203090104,Якка тут
AN-230073,203080194,Янги хаёт
AN-230074,203099312,Узбекистон
AN-230076,203089980,Кора курпа
AN-17130079,309426214,Ёшлар
AN-17130068,203090088,Эшон Кишлок
AN-17130046,203090174,Номозгох
AN-17130034,203090000,Кушкунок
AN-17130002,203119364,Абдусамат
AN-17130055,203089997,Созок
AN-17130080,309420809,Ипакёли
AN-17130031,205897932,Кумкайрок
AN-17130021,203089879,Кайрогочгузар
AN-17130014,203080203,Бахор
AN-17130078,203135765,Туркистон
AN-17130030,203090207,Кумарик
AN-17130060,205957176,Толкин
AN-17130081,309694824,Янгиобод
AN-17130035,203090111,Холдевонбек
AN-17130012,203080155,Бувадо
AN-17130025,203099336,Кипчаккургон
AN-232001,202910704,Навроз
AN-232002,202910696,Юкори
AN-232003,202910783,Шомат
AN-232004,202910736,З.Хабиби
AN-232005,202910768,Коконкишлок
AN-232006,202910729,Нодирабегим
AN-232007,202910744,Кашкар
AN-232010,202910775,Мустакиллик
AN-232011,205514861,Бобур
AN-232012,202910815,Санграобод
AN-232013,206566117,Машал
AN-232015,302870143,Гулобод
AN-232016,202910847,Хайраобод
AN-232017,202910854,Обод
AN-232018,203117185,Гулистон-пасткишлок
AN-232019,202910862,Шувокзор-Бойкечик
AN-232020,202911196,Пайноб
AN-232021,202911275,Илтифот
AN-232022,202911283,Лолазор
AN-232023,202911268,Донгкишлок
AN-232024,202911290,Сохил
AN-232025,202911204,Гузар
AN-232026,202911236,Токкизбог
AN-232027,202911251,Шоврук
AN-232028,202911229,Пушмон
AN-232029,202911244,Зиёли
AN-232030,202911212,Сой
AN-232031,205487951,Учкоргон
AN-232033,202911078,Овушка
AN-232034,202923782,Бой Тупи
AN-232035,202911085,Терактаги
AN-232036,202911093,Кумшайдон
AN-232037,202911101,Коктонлик
AN-232038,202911118,Ескикоргон
AN-232039,202911125,Учкоза
AN-232040,202911133,Файзиобод
AN-232041,202911140,Тораобод
AN-232042,202911157,Ёлгизбог
AN-232043,202911164,Нурдиёр
AN-232044,202911172,Коракоргон
AN-232045,202911189,Кайир
AN-232047,202910886,Олмазор
AN-232048,202910919,Бодрогобод
AN-232049,202910902,Богигулистон
AN-232050,202910934,Коргонча
AN-232052,202911014,Чорбог
AN-232053,202911046,Мустахкам
AN-232054,202911007,Марифат
AN-232056,202911039,Саноат
AN-232057,202910980,Тинчлик
AN-232058,202911054,Янги обод
AN-232059,202910997,Тошкоргон
AN-232061,202910965,Андижан
AN-232062,202910958,Ахиллик
AN-232063,202910941,Чорсу
AN-232064,205640224,Бостонобод
AN-232065,202910790,Навбахор
AN-232066,202910808,Хаётбахш
AN-232067,202910926,Дурдиёр
AN-17100051,202910823,Тупобжувоз
AN-17100023,202910751,Корашох
AN-17100031,202910712,Муаззимбой
AN-236001,203055446,Бахрин
AN-236002,203135844,Бешкарам
AN-236004,203057997,Карнайчи
AN-236005,203058125,Навбахор
AN-236008,203055422,Тош ота
AN-236009,203055461,Узун куча
AN-236010,203055382,Шахрихонсой
AN-236012,203110401,Гарагури
AN-236013,203058039,Етмишмерган
AN-236014,203055367,Ипакчи
AN-236015,203058061,Коприкбоши
AN-236016,203058022,Корабулок
AN-236017,203055414,Саноатчилар
AN-236018,203150416,Солпи
AN-236019,203058046,Уч куча
AN-236020,203058007,Чимбулок
AN-236021,203057965,Гулистон
AN-236022,203055407,Дилкушод
AN-236023,203055399,Кувватмурод
AN-236024,203057973,Манак
AN-236025,203057980,Нишоббойи
AN-236026,203058014,Ордай
AN-236027,203057941,Тораобод
AN-236030,207301500,Мустакилликнинг 27йиллиги
AN-236031,203055374,Янги фаргона
AN-236032,203055439,Андижон
AN-236033,203058078,Жомe
AN-236034,203123693,Курама
AN-236035,203055454,Мустахкам
AN-236036,203110393,Саркамиш
AN-236037,203058054,Хидирша
AN-236038,203055350,Янги хаёт
AN-17120039,309161094,Мустакилликнинг30йиллиги
AN-17120032,203057958,Ипкал Йоли
AN-17120004,203070587,Бeшкавок
AN-17120021,203058118,Навоий
AN-17120035,203058133,Файзобод
AN-17120005,203055478,Бобур
AN-17120027,203058093,Юксалиш
AN-401001,202766163,Баркамол
AN-401002,203089482,Боги ерам
AN-401003,202756033,Богишамол
